genome_refseq_accession,protein_name,protein_refseq_accession
GCF_000003025.6,NOP56,XP_020931579.1
GCF_002204375.1,NOP56,XP_021510050.1
GCF_017639785.1,NOP56,XP_005070654.1
GCF_907164565.1,NOP56,XP_055472885.1
GCF_000004195.4,NOP56,NP_989298.1
GCF_027595985.1,NOP56,XP_004601337.1
GCF_000001635.27,NOP56,BAC31822.1
GCF_000001635.27,NOP56,NP_001407659.1
GCF_003426925.1,NOP56,XP_026261123.1
GCF_011764305.1,NOP56,XP_004764234.1
GCF_000247695.1,NOP56,XP_004851261.1
GCF_000001635.27,NOP56,BAE22082.1
GCF_014108235.1,NOP56,XP_036175454.1
GCF_000622305.1,NOP56,XP_008833672.1
GCF_000001635.27,NOP56,NP_061356.2
GCF_005870125.1,NOP56,XP_021411034.1
GCF_015852505.1,NOP56,XP_038604951.1
GCF_023065955.2,MARCHF6,XP_026362480.1
GCF_002863925.1,MARCHF6,XP_023481618.1
GCF_015220235.1,MARCHF6,XP_037655432.1
GCF_003426925.1,MARCHF6,XP_026252867.1
GCF_000003025.6,MARCHF6,NP_001124007.1
GCF_000622305.1,MARCHF6,XP_008835859.1
GCF_003426925.1,MARCHF6,XP_026252866.1
GCF_023159225.1,MARCHF6,XP_048223995.1
GCF_002863925.1,MARCHF6,XP_014590421.2
GCF_014108235.1,MARCHF6,XP_036165037.1
GCF_011100685.1,MARCHF6,XP_005639724.1
GCF_000622305.1,MARCHF6,XP_008835857.1
GCF_018350175.1,MARCHF6,XP_023095283.2
GCF_011764305.1,MARCHF6,XP_012916224.1
GCF_011100685.1,MARCHF6,XP_022269901.1
GCF_000003025.6,MARCHF6,XP_020932182.1
GCF_000247695.1,MARCHF6,XP_004845241.1
GCF_014570535.1,MARCHF6,XP_036880916.1
GCF_014108235.1,MARCHF6,XP_036165036.1
GCF_011100685.1,MARCHF6,XP_022269900.1
GCF_018350175.1,MARCHF6,XP_044894733.1
GCF_014176215.1,MARCHF6,XP_036081235.1
GCF_009762305.2,MARCHF6,XP_027462820.1
GCF_018350175.1,MARCHF6,XP_044894728.1
GCF_006547405.1,MARCHF6,XP_030712429.1
GCF_002204375.1,MARCHF6,XP_021507435.1
GCF_014176215.1,MARCHF6,XP_016020457.2
GCF_020740685.1,MARCHF6,XP_044995088.1
GCF_009762305.2,MARCHF6,XP_027462817.1
GCF_907164565.1,MARCHF6,XP_055474963.1
GCF_000247695.1,MARCHF6,EHB08924.1
GCF_000001635.27,MARCHF6,NP_766194.2
GCF_009762305.2,MARCHF6,XP_027462819.1
GCF_017639785.1,MARCHF6,XP_040613627.1
GCF_020740685.1,MARCHF6,XP_044995087.1
GCF_907164565.1,MARCHF6,XP_055474962.1
GCF_002204375.1,MARCHF6,XP_021507434.1
GCF_000001635.27,MARCHF6,NP_001389808.1
GCF_027595985.1,MARCHF6,XP_054975646.1
GCF_017639785.1,MARCHF6,XP_040613626.1
GCF_006547405.1,MARCHF6,XP_030712428.1
GCF_014108235.1,MARCHF6,KAF6355422.1
GCF_000151735.1,MARCHF6,XP_013004716.1
GCF_027595985.1,MARCHF6,XP_054975604.1
GCF_014108235.1,MARCHF6,XP_036165038.1
GCF_019393635.1,MARCHF6,XP_043843495.1
GCF_011100635.1,MARCHF6,XP_036608438.1
GCF_902635505.1,MARCHF6,XP_031801987.1
GCF_002099425.1,MARCHF6,XP_020860064.1
GCF_011100635.1,MARCHF6,XP_036608447.1
GCF_902635505.1,MARCHF6,XP_031801988.1
GCF_002099425.1,MARCHF6,XP_020860063.1
GCF_019393635.1,MARCHF6,XP_043843333.1
GCF_019393635.1,MARCHF6,XP_043843254.1
GCF_019393635.1,MARCHF6,XP_043843169.1
GCF_014176215.1,MARCHF6,KAF6441371.1
GCF_019393635.1,MARCHF6,XP_043843084.1
GCF_018350175.1,MARCHF6,XP_044894735.1
GCF_002099425.1,MARCHF6,XP_020860065.1
GCF_014108235.1,MARCHF6,XP_036165040.1
GCF_014176215.1,MARCHF6,KAF6441373.1
GCF_014108235.1,MARCHF6,XP_036165041.1
GCF_023065955.2,MARCHF6,XP_048080382.1
GCF_011100685.1,MARCHF6,XP_022269902.1
GCF_014108235.1,MARCHF6,XP_036165042.1
GCF_014176215.1,MARCHF6,KAF6441372.1
GCF_001890085.2,MARCHF6,XP_019517942.1
GCF_004115215.2,MARCHF6,XP_028909534.1
GCF_004115215.2,MARCHF6,XP_028909535.1
GCF_023159225.1,MARCHF6,XP_048223997.1
GCF_004115215.2,MARCHF6,XP_028909532.1
GCF_005870125.1,MARCHF6,XP_021394098.1
GCF_027887165.1,MARCHF6,XP_007486881.1
GCF_005870125.1,MARCHF6,XP_021394097.1
GCF_000090745.2,MARCHF6,XP_003219858.1
GCF_015852505.1,MARCHF6,XP_038626130.1
GCF_015852505.1,MARCHF6,XP_038626129.1
GCF_016699485.2,MARCHF6,XP_040519211.1
GCF_004329235.1,MARCHF6,XP_028593804.1
GCF_015852505.1,MARCHF6,XP_038626128.1
GCF_016699485.2,MARCHF6,XP_015137738.1
GCF_016699485.2,MARCHF6,XP_025003480.1
GCF_000955945.1,MARCHF6,XP_011915875.1
GCF_016699485.2,MARCHF6,XP_025003479.1
GCF_016699485.2,MARCHF6,XP_015137735.1
GCF_005870125.1,MARCHF6,XP_021394099.1
GCF_016699485.2,MARCHF6,XP_046767965.1
GCF_016699485.2,MARCHF6,XP_046767964.1
GCF_016699485.2,MARCHF6,XP_046767968.1
GCF_016699485.2,MARCHF6,XP_040519209.1
GCF_016699485.2,MARCHF6,XP_046787547.1
GCF_016699485.2,MARCHF6,XP_046767967.1
GCF_016699485.2,MARCHF6,XP_040551657.1
GCF_016699485.2,MARCHF6,XP_040519208.1
GCF_000004195.4,MARCHF6,XP_004915379.2
GCF_000004195.4,MARCHF6,XP_002938364.3
GCF_027744805.1,MARCHF6,XP_054621062.1
GCF_028641065.1,MARCHF6,XP_055506891.1
GCF_028641065.1,MARCHF6,XP_055506883.1
GCF_902827165.1,MARCHF6,XP_033988393.1
GCF_902827165.1,MARCHF6,XP_033988392.1
GCF_902827165.1,MARCHF6,XP_033988391.1
GCF_902827165.1,MARCHF6,XP_033988390.1
GCF_016699485.2,MARCHF6,XP_046767969.1
GCF_001858045.2,MARCHF6,XP_003443531.1
GCF_001858045.2,MARCHF6,XP_003456228.1
GCF_900408965.1,MARCHF6,XP_039900815.1
GCF_902827165.1,MARCHF6,XP_033993755.1
GCF_902827165.1,MARCHF6,XP_033993756.1
GCF_014176215.1,MARCHF6,KAF6441374.1
GCF_010993605.1,MARCHF6,XP_032830604.1
GCF_000001635.27,MARCHF6,BAC40971.1
GCF_010993605.1,MARCHF6,XP_032830600.1
GCF_010993605.1,MARCHF6,XP_032830602.1
GCF_010993605.1,MARCHF6,XP_032813717.1
GCF_000001635.27,MARCHF6,AAH48816.1
GCF_000001635.27,MARCHF6,BAC97979.1
GCF_014176215.1,MARCHF6,KAF6441375.1
GCF_000001635.27,MARCHF6,AAH37454.1
GCF_000001635.27,MARCHF6,AAH59190.2
GCF_000955945.1,ATXN2,XP_011887771.1
GCF_011764305.1,ATXN2,XP_044929489.1
GCF_011764305.1,ATXN2,XP_044929490.1
GCF_003426925.1,ATXN2,XP_026241930.1
GCF_006547405.1,ATXN2,XP_030716196.1
GCF_023065955.2,ATXN2,XP_026370664.2
GCF_014176215.1,ATXN2,XP_036076660.1
GCF_002863925.1,ATXN2,XP_023502916.1
GCF_009762305.2,ATXN2,XP_027431380.2
GCF_014176215.1,ATXN2,XP_036076659.1
GCF_006547405.1,ATXN2,XP_030716197.1
GCF_014176215.1,ATXN2,KAF6464047.1
GCF_003426925.1,ATXN2,XP_026241932.1
GCF_021288785.2,ATXN2,XP_045743602.1
GCF_023065955.2,ATXN2,XP_026370665.2
GCF_014176215.1,ATXN2,XP_016005193.2
GCF_018350175.1,ATXN2,XP_044897487.1
GCF_009762305.2,ATXN2,XP_027431382.1
GCF_009762305.2,ATXN2,XP_027431381.2
GCF_014176215.1,ATXN2,KAF6464046.1
GCF_006547405.1,ATXN2,XP_030716193.1
GCF_014176215.1,ATXN2,XP_016005206.1
GCF_014176215.1,ATXN2,KAF6464045.1
GCF_015220235.1,ATXN2,XP_037672752.1
GCF_014176215.1,ATXN2,XP_036076657.1
GCF_000003025.6,ATXN2,XP_005670708.2
GCF_023065955.2,ATXN2,XP_044245799.1
GCF_018350175.1,ATXN2,XP_019670104.3
GCF_023065955.2,ATXN2,XP_044245804.1
GCF_014176215.1,ATXN2,XP_016005194.1
GCF_006547405.1,ATXN2,XP_030716194.1
GCF_014176215.1,ATXN2,XP_036076658.1
GCF_015220235.1,ATXN2,XP_037672747.1
GCF_000003025.6,ATXN2,XP_001929568.2
GCF_023065955.2,ATXN2,XP_048077607.1
GCF_011764305.1,ATXN2,XP_044929491.1
GCF_014176215.1,ATXN2,XP_036076656.1
GCF_011764305.1,ATXN2,XP_044929492.1
GCF_014570535.1,ATXN2,XP_036870248.1
GCF_023065955.2,ATXN2,XP_048077609.1
GCF_009762305.2,ATXN2,XP_027431385.1
GCF_006547405.1,ATXN2,XP_030716202.1
GCF_023065955.2,ATXN2,XP_026370667.1
GCF_014570535.1,ATXN2,XP_036870249.1
GCF_014176215.1,ATXN2,XP_016005196.1
GCF_009762305.2,ATXN2,XP_027431387.1
GCF_009762305.2,ATXN2,XP_027431383.1
GCF_006547405.1,ATXN2,XP_030716195.1
GCF_023065955.2,ATXN2,XP_044245800.1
GCF_011764305.1,ATXN2,XP_044929494.1
GCF_000003025.6,ATXN2,XP_005670711.2
GCF_015220235.1,ATXN2,XP_037672748.1
GCF_018350175.1,ATXN2,XP_044897490.1
GCF_000003025.6,ATXN2,XP_005670712.2
GCF_015220235.1,ATXN2,XP_037672749.1
GCF_023065955.2,ATXN2,XP_048077608.1
GCF_000247695.1,ATXN2,XP_021112681.1
GCF_002863925.1,ATXN2,XP_023502913.1
GCF_002863925.1,ATXN2,XP_023502911.1
GCF_023065955.2,ATXN2,XP_044245801.1
GCF_002863925.1,ATXN2,XP_023502912.1
GCF_014176215.1,ATXN2,XP_016005203.1
GCF_014176215.1,ATXN2,XP_016005202.1
GCF_006547405.1,ATXN2,XP_030716200.1
GCF_001890085.2,ATXN2,XP_019497152.1
GCF_023065955.2,ATXN2,XP_044245803.1
GCF_001890085.2,ATXN2,XP_019497151.1
GCF_011100685.1,ATXN2,XP_038292613.1
GCF_001890085.2,ATXN2,XP_019497150.1
GCF_001890085.2,ATXN2,XP_019497154.1
GCF_014176215.1,ATXN2,XP_016005201.1
GCF_001890085.2,ATXN2,XP_019497148.1
GCF_001890085.2,ATXN2,XP_019497145.1
GCF_009762305.2,ATXN2,XP_027431384.1
GCF_014176215.1,ATXN2,XP_016005200.1
GCF_001890085.2,ATXN2,XP_019497149.1
GCF_002863925.1,ATXN2,XP_023502914.1
GCF_000622305.1,ATXN2,XP_008845747.1
GCF_021288785.2,ATXN2,XP_054366497.1
GCF_020740685.1,ATXN2,XP_044988037.1
GCF_000622305.1,ATXN2,XP_017657243.1
GCF_014108235.1,ATXN2,XP_036209755.1
GCF_014176215.1,ATXN2,XP_036076664.1
GCF_020740685.1,ATXN2,XP_044988038.1
GCF_011100685.1,ATXN2,XP_038292614.1
GCF_014176215.1,ATXN2,XP_036076663.1
GCF_011100685.1,ATXN2,XP_038292615.1
GCF_001890085.2,ATXN2,XP_019497157.1
GCF_014176215.1,ATXN2,XP_016005205.1
GCF_001890085.2,ATXN2,XP_019497153.1
GCF_014176215.1,ATXN2,XP_016005204.1
GCF_000622305.1,ATXN2,XP_029426467.1
GCF_020740685.1,ATXN2,XP_044988033.1
GCF_000622305.1,ATXN2,XP_029426468.1
GCF_020740685.1,ATXN2,XP_044988034.1
GCF_000151735.1,ATXN2,XP_023417785.1
GCF_014108235.1,ATXN2,XP_036209748.1
GCF_003426925.1,ATXN2,XP_026241933.1
GCF_014108235.1,ATXN2,KAF6282035.1
GCF_014108235.1,ATXN2,XP_036209747.1
GCF_014108235.1,ATXN2,XP_036209749.1
GCF_014108235.1,ATXN2,KAF6282033.1
GCF_000001635.27,ATXN2,O70305.1
GCF_014108235.1,ATXN2,XP_036209744.1
GCF_017639785.1,ATXN2,XP_040587326.1
GCF_014108235.1,ATXN2,XP_036209741.1
GCF_017639785.1,ATXN2,XP_040587334.1
GCF_907164565.1,ATXN2,XP_055462051.1
GCF_014108235.1,ATXN2,XP_036209745.1
GCF_000003025.6,ATXN2,XP_020928569.1
GCF_000003025.6,ATXN2,XP_020928568.1
GCF_014108235.1,ATXN2,XP_036209742.1
GCF_017639785.1,ATXN2,XP_040587330.1
GCF_907164565.1,ATXN2,XP_055462047.1
GCF_000001635.27,ATXN2,NP_033151.3
GCF_000003025.6,ATXN2,XP_020928567.1
GCF_000003025.6,ATXN2,XP_020928572.1
GCF_017639785.1,ATXN2,XP_040587327.1
GCF_000001635.27,ATXN2,XP_030110123.1
GCF_003426925.1,ATXN2,XP_026241934.1
GCF_003426925.1,ATXN2,XP_026241935.1
GCF_000001635.27,ATXN2,XP_030110101.1
GCF_014108235.1,ATXN2,XP_036209751.1
GCF_000001635.27,ATXN2,XP_030110094.1
GCF_000001635.27,ATXN2,XP_017176237.1
GCF_000001635.27,ATXN2,XP_030110095.1
GCF_014108235.1,ATXN2,XP_036209746.1
GCF_017639785.1,ATXN2,XP_040587331.1
GCF_907164565.1,ATXN2,XP_055462048.1
GCF_000003025.6,ATXN2,XP_020928577.1
GCF_000003025.6,ATXN2,XP_020928575.1
GCF_018350175.1,ATXN2,XP_044897485.1
GCF_023159225.1,ATXN2,XP_048198893.1
GCF_907164565.1,ATXN2,XP_055462049.1
GCF_014176215.1,ATXN2,XP_016005195.1
GCF_000001635.27,ATXN2,XP_030110110.1
GCF_000003025.6,ATXN2,XP_020928570.1
GCF_000003025.6,ATXN2,XP_020928579.1
GCF_000003025.6,ATXN2,XP_020928576.1
GCF_000001635.27,ATXN2,XP_030110113.1
GCF_017639785.1,ATXN2,XP_040587328.1
GCF_018350175.1,ATXN2,XP_044897486.1
GCF_023159225.1,ATXN2,XP_048198894.1
GCF_000001635.27,ATXN2,XP_030110103.1
GCF_023159225.1,ATXN2,XP_048198901.1
GCF_000001635.27,ATXN2,XP_017176238.1
GCF_023159225.1,ATXN2,XP_048198890.1
GCF_000003025.6,ATXN2,XP_020928573.1
GCF_027595985.1,ATXN2,XP_004611115.2
GCF_014570535.1,ATXN2,XP_036870250.1
GCF_000001635.27,ATXN2,XP_006530291.1
GCF_000001635.27,ATXN2,XP_030110116.1
GCF_000001635.27,ATXN2,XP_030110105.1
GCF_000001635.27,ATXN2,XP_030110098.1
GCF_023159225.1,ATXN2,XP_048198891.1
GCF_027595985.1,ATXN2,XP_055002573.1
GCF_027595985.1,ATXN2,XP_055002572.1
GCF_014570535.1,ATXN2,XP_036870251.1
GCF_027595985.1,ATXN2,XP_055002575.1
GCF_004115215.2,ATXN2,XP_028914314.1
GCF_000001635.27,ATXN2,XP_030110096.1
GCF_027595985.1,ATXN2,XP_055002569.1
GCF_000001635.27,ATXN2,XP_030110099.1
GCF_027595985.1,ATXN2,XP_055002578.1
GCF_004115215.2,ATXN2,XP_028914311.1
GCF_004115215.2,ATXN2,XP_028914315.1
GCF_000001635.27,ATXN2,XP_030110097.1
GCF_027595985.1,ATXN2,XP_055002571.1
GCF_003426925.1,ATXN2,XP_026241936.1
GCF_027595985.1,ATXN2,XP_055002579.1
GCF_004115215.2,ATXN2,XP_028914312.1
GCF_014108235.1,ATXN2,XP_036209753.1
GCF_014108235.1,ATXN2,XP_036209750.1
GCF_023159225.1,ATXN2,XP_048198896.1
GCF_023159225.1,ATXN2,XP_048198897.1
GCF_000003025.6,ATXN2,XP_005670713.2
GCF_014176215.1,ATXN2,KAF6464043.1
GCF_006547405.1,ATXN2,XP_030716205.1
GCF_014176215.1,ATXN2,XP_016005197.1
GCF_027887165.1,ATXN2,XP_016287898.1
GCF_014176215.1,ATXN2,XP_036076661.1
GCF_902635505.1,ATXN2,XP_031804452.1
GCF_027887165.1,ATXN2,XP_016287897.1
GCF_000003025.6,ATXN2,XP_020928580.1
GCF_902635505.1,ATXN2,XP_031804441.1
GCF_000003025.6,ATXN2,XP_020928574.1
GCF_000003025.6,ATXN2,XP_020928582.1
GCF_002099425.1,ATXN2,XP_020825838.1
GCF_027887165.1,ATXN2,XP_016287899.1
GCF_902635505.1,ATXN2,XP_031804453.1
GCF_015220235.1,ATXN2,XP_037672750.1
GCF_027595985.1,ATXN2,XP_055002577.1
GCF_015852505.1,ATXN2,XP_038619000.1
GCF_002099425.1,ATXN2,XP_020825837.1
GCF_000001635.27,ATXN2,XP_036020827.1
GCF_000003025.6,ATXN2,XP_020928581.1
GCF_902635505.1,ATXN2,XP_031804442.1
GCF_027887165.1,ATXN2,XP_016287892.1
GCF_002099425.1,ATXN2,XP_020825839.1
GCF_027595985.1,ATXN2,XP_055002574.1
GCF_015852505.1,ATXN2,XP_038618998.1
GCF_017639785.1,ATXN2,XP_040587329.1
GCF_004115215.2,ATXN2,XP_028914316.1
GCF_019393635.1,ATXN2,XP_043835097.1
GCF_004115215.2,ATXN2,XP_028914317.1
GCF_015852505.1,ATXN2,XP_038619001.1
GCF_002099425.1,ATXN2,XP_020825836.1
GCF_023065955.2,ATXN2,XP_026370668.1
GCF_017639785.1,ATXN2,XP_040587332.1
GCF_000001635.27,ATXN2,XP_017176239.1
GCF_011100635.1,ATXN2,XP_036610795.1
GCF_000001635.27,ATXN2,XP_030110111.1
GCF_015852505.1,ATXN2,XP_038618999.1
GCF_014570535.1,ATXN2,XP_036870252.1
GCF_011764305.1,ATXN2,XP_044929493.1
GCF_011100635.1,ATXN2,XP_036610778.1
GCF_023065955.2,ATXN2,XP_048077610.1
GCF_011100635.1,ATXN2,XP_036610805.1
GCF_016699485.2,ATXN2,XP_015131044.2
GCF_000001635.27,ATXN2,XP_030110112.1
GCF_000622305.1,ATXN2,XP_029426469.1
GCF_011100635.1,ATXN2,XP_036610710.1
GCF_009762305.2,ATXN2,XP_027431386.1
GCF_016699485.2,ATXN2,XP_015131046.2
GCF_000003025.6,ATXN2,XP_020928585.1
GCF_902635505.1,ATXN2,XP_031804443.1
GCF_016699485.2,ATXN2,XP_015131043.2
GCF_027887165.1,ATXN2,XP_016287893.1
GCF_018350175.1,ATXN2,XP_044897489.1
GCF_027887165.1,ATXN2,XP_016287894.1
GCF_902635505.1,ATXN2,XP_031804446.1
GCF_016699485.2,ATXN2,XP_040504378.2
GCF_000003025.6,ATXN2,XP_020928587.1
GCF_018350175.1,ATXN2,XP_044897491.1
GCF_018350175.1,ATXN2,XP_044897488.1
GCF_011100685.1,ATXN2,XP_038292616.1
GCF_000003025.6,ATXN2,XP_020928589.1
GCF_002099425.1,ATXN2,XP_020825840.1
GCF_902635505.1,ATXN2,XP_031804445.1
GCF_016699485.2,ATXN2,XP_015131045.2
GCF_002099425.1,ATXN2,XP_020825841.1
GCF_000001635.27,ATXN2,XP_030110120.1
GCF_000003025.6,ATXN2,XP_020928584.1
GCF_000001635.27,ATXN2,XP_030110100.1
GCF_015852505.1,ATXN2,XP_038619002.1
GCF_023159225.1,ATXN2,XP_048198895.1
GCF_015852505.1,ATXN2,XP_038619003.1
GCF_023065955.2,ATXN2,XP_048077612.1
GCF_000001635.27,ATXN2,XP_030110121.1
GCF_000001635.27,ATXN2,XP_030110118.1
GCF_016699485.2,ATXN2,XP_015131049.2
GCF_011100635.1,ATXN2,XP_036610719.1
GCF_023065955.2,ATXN2,XP_048077613.1
GCF_001890085.2,ATXN2,XP_019497155.1
GCF_011100635.1,ATXN2,XP_036610736.1
GCF_000001635.27,ATXN2,XP_030110119.1
GCF_016699485.2,ATXN2,XP_015131047.2
GCF_016699485.2,ATXN2,XP_015131050.2
GCF_020740685.1,ATXN2,XP_044988035.1
GCF_011100635.1,ATXN2,XP_036610727.1
GCF_027595985.1,ATXN2,XP_055002576.1
GCF_009762305.2,ATXN2,XP_027431388.1
GCF_016699485.2,ATXN2,XP_015131048.2
GCF_018350175.1,ATXN2,XP_044897492.1
GCF_016699485.2,ATXN2,XP_040504376.1
GCF_016699485.2,ATXN2,XP_046757231.1
GCF_000003025.6,ATXN2,XP_020928594.1
GCF_000003025.6,ATXN2,XP_020928588.1
GCF_000003025.6,ATXN2,XP_020928590.1
GCF_016699485.2,ATXN2,XP_046757230.1
GCF_902635505.1,ATXN2,XP_031804447.1
GCF_027887165.1,ATXN2,XP_016287895.1
GCF_002099425.1,ATXN2,XP_020825842.1
GCF_000001635.27,ATXN2,BAE22757.1
GCF_016699485.2,ATXN2,XP_046757232.1
GCF_006547405.1,ATXN2,XP_030716203.1
GCF_016699485.2,ATXN2,XP_015131051.2
GCF_016699485.2,ATXN2,XP_046757233.1
GCF_004329235.1,ATXN2,XP_028597136.1
GCF_011100635.1,ATXN2,XP_036610747.1
GCF_016699485.2,ATXN2,XP_015131052.2
GCF_004329235.1,ATXN2,XP_028597137.1
GCF_016699485.2,ATXN2,XP_040504379.1
GCF_016699485.2,ATXN2,XP_040504381.1
GCF_023159225.1,ATXN2,XP_048198899.1
GCF_016699485.2,ATXN2,XP_046757236.1
GCF_016699485.2,ATXN2,XP_046757235.1
GCF_000003025.6,ATXN2,XP_020928595.1
GCF_016699485.2,ATXN2,XP_040504380.1
GCF_004329235.1,ATXN2,XP_028597138.1
GCF_017639785.1,ATXN2,XP_040587333.1
GCF_016699485.2,ATXN2,XP_040504383.1
GCF_004329235.1,ATXN2,XP_028597140.1
GCF_907164565.1,ATXN2,XP_055462050.1
GCF_027595985.1,ATXN2,XP_055002580.1
GCF_023159225.1,ATXN2,XP_048198900.1
GCF_023159225.1,ATXN2,XP_048198898.1
GCF_000004195.4,ATXN2,XP_002937742.3
GCF_000001635.27,ATXN2,XP_030110102.1
GCF_000004195.4,ATXN2,XP_004910564.2
GCF_002099425.1,ATXN2,XP_020825843.1
GCF_000004195.4,ATXN2,KAE8635262.1
GCF_016699485.2,ATXN2,XP_015131054.2
GCF_000090745.2,ATXN2,XP_016852590.1
GCF_000004195.4,ATXN2,KAE8635263.1
GCF_016699485.2,ATXN2,XP_040504387.1
GCF_902635505.1,ATXN2,XP_031804450.1
GCF_011100635.1,ATXN2,XP_036610768.1
GCF_000090745.2,ATXN2,XP_008118085.1
GCF_902635505.1,ATXN2,XP_031804449.1
GCF_014108235.1,ATXN2,XP_036209754.1
GCF_011100635.1,ATXN2,XP_036610758.1
GCF_000001635.27,ATXN2,XP_030110122.1
GCF_016699485.2,ATXN2,XP_040504394.1
GCF_016699485.2,ATXN2,XP_040504397.1
GCF_015220235.1,ATXN2,XP_037672751.1
GCF_000001635.27,ATXN2,XP_030110109.1
GCF_000001635.27,ATXN2,XP_030110104.1
GCF_006547405.1,ATXN2,XP_030716204.1
GCF_014176215.1,ATXN2,XP_016005198.1
GCF_016699485.2,ATXN2,XP_040504393.1
GCF_000001635.27,ATXN2,XP_030110106.1
GCF_000090745.2,ATXN2,XP_016852591.1
GCF_014176215.1,ATXN2,KAF6464042.1
GCF_016699485.2,ATXN2,XP_040504395.1
GCF_014176215.1,ATXN2,XP_036076668.1
GCF_016699485.2,ATXN2,XP_015131055.2
GCF_000001635.27,ATXN2,NP_001346082.1
GCF_000090745.2,ATXN2,XP_016852592.1
GCF_014176215.1,ATXN2,XP_036076667.1
GCF_004115215.2,ATXN2,XP_028914318.1
GCF_016699485.2,ATXN2,XP_040504396.1
GCF_023065955.2,ATXN2,XP_048077616.1
GCF_014176215.1,ATXN2,XP_036076666.1
GCF_015852505.1,ATXN2,XP_038619006.1
GCF_000001635.27,ATXN2,XP_030110124.1
GCF_014176215.1,ATXN2,XP_036076665.1
GCF_023065955.2,ATXN2,XP_044245802.1
GCF_016699485.2,ATXN2,XP_040504399.1
GCF_020740685.1,ATXN2,XP_044988036.1
GCF_000004195.4,ATXN2,KAE8635264.1
GCF_011764305.1,ATXN2,XP_044929495.1
GCF_000090745.2,ATXN2,XP_016852593.1
GCF_000004195.4,ATXN2,XP_017946049.2
GCF_009762305.2,ATXN2,XP_027431389.1
GCF_000001635.27,ATXN2,XP_030110115.1
GCF_016699485.2,ATXN2,XP_040504401.1
GCF_000004195.4,ATXN2,KAE8635266.1
GCF_000622305.1,ATXN2,XP_029426470.1
GCF_000001635.27,ATXN2,XP_030110117.1
GCF_016699485.2,ATXN2,XP_040504398.1
GCF_001890085.2,ATXN2,XP_019497158.1
GCF_014176215.1,ATXN2,XP_036076672.1
GCF_000090745.2,ATXN2,XP_016852594.1
GCF_014176215.1,ATXN2,XP_036076671.1
GCF_016699485.2,ATXN2,XP_040504400.1
GCF_015852505.1,ATXN2,XP_038619007.1
GCF_011100685.1,ATXN2,XP_038292617.1
GCF_023065955.2,ATXN2,XP_048077614.1
GCF_014176215.1,ATXN2,XP_036076670.1
GCF_014176215.1,ATXN2,XP_036076669.1
GCF_023065955.2,ATXN2,XP_048077611.1
GCF_027595985.1,ATXN2,XP_055002582.1
GCF_004329235.1,ATXN2,XP_028597141.1
GCF_000001635.27,ATXN2,XP_030110125.1
GCF_016699485.2,ATXN2,XP_040504403.1
GCF_005870125.1,ATXN2,XP_031362076.1
GCF_011100635.1,ATXN2,XP_036610786.1
GCF_000001635.27,ATXN2,XP_030110126.1
GCF_016699485.2,ATXN2,XP_040504404.1
GCF_027887165.1,ATXN2,XP_016287896.1
GCF_005870125.1,ATXN2,XP_031362074.1
GCF_023065955.2,ATXN2,XP_048077615.1
GCF_005870125.1,ATXN2,XP_021400326.1
GCF_011100635.1,ATXN2,XP_036610819.1
GCF_005870125.1,ATXN2,XP_031362073.1
GCF_011100635.1,ATXN2,XP_036610812.1
GCF_005870125.1,ATXN2,XP_031362075.1
GCF_016699485.2,ATXN2,XP_040504406.1
GCF_000004195.4,ATXN2,KAE8635276.1
GCF_000090745.2,ATXN2,XP_016852595.1
GCF_005870125.1,ATXN2,XP_021400316.1
GCF_005870125.1,ATXN2,XP_021400318.1
GCF_005870125.1,ATXN2,XP_021400315.1
GCF_005870125.1,ATXN2,XP_021400321.1
GCF_000004195.4,ATXN2,XP_004910565.2
GCF_000004195.4,ATXN2,KAE8635269.1
GCF_000004195.4,ATXN2,KAE8635270.1
GCF_028641065.1,ATXN2,XP_055511796.1
GCF_000004195.4,ATXN2,KAE8635271.1
GCF_028641065.1,ATXN2,XP_055511791.1
GCF_028641065.1,ATXN2,XP_055511792.1
GCF_028641065.1,ATXN2,XP_055511798.1
GCF_000001635.27,ATXN2,EDL19713.1
GCF_028641065.1,ATXN2,XP_055511788.1
GCF_028641065.1,ATXN2,XP_055511793.1
GCF_015852505.1,ATXN2,XP_038619005.1
GCF_028641065.1,ATXN2,XP_055511790.1
GCF_028641065.1,ATXN2,XP_055511789.1
GCF_000001635.27,ATXN2,BAE22712.1
GCF_014176215.1,ATXN2,KAF6464044.1
GCF_028641065.1,ATXN2,XP_055511794.1
GCF_027595985.1,ATXN2,XP_055002584.1
GCF_000004195.4,ATXN2,KAE8635272.1
GCF_000004195.4,ATXN2,KAE8635274.1
GCF_005870125.1,ATXN2,XP_031362077.1
GCF_902827165.1,ATXN2,XP_033973390.1
GCF_900408965.1,ATXN2,XP_039906950.1
GCF_902635505.1,ATXN2,XP_031804448.1
GCF_900408965.1,ATXN2,XP_039906947.1
GCF_900408965.1,ATXN2,XP_039906948.1
GCF_027744805.1,ATXN2,XP_054631098.1
GCF_900408965.1,ATXN2,XP_039906945.1
GCF_027744805.1,ATXN2,XP_054631095.1
GCF_900408965.1,ATXN2,XP_039906944.1
GCF_001858045.2,ATXN2,XP_013130323.1
GCF_900408965.1,ATXN2,XP_039906952.1
GCF_001858045.2,ATXN2,XP_005473496.1
